Species,Population,Latitude,Longitude,Year_start,Year_end,Temperature,Vial,Replicate,Sex,Thorax_length,l2,l3p,l3d,lpd,l3,w1,w2,w3,wing_loading
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,10,1,female,1.222,1.916,0.644,1.627,2.271,2.270,1.052,1.423,1.169,1.858
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,10,1,male,1.143,1.797,0.565,1.575,2.140,2.138,0.988,1.319,1.127,1.871
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,10,2,female,1.195,1.921,0.685,1.571,2.256,2.255,1.027,1.398,1.158,1.887
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,10,2,male,1.140,1.796,0.616,1.526,2.143,2.142,0.986,1.317,1.110,1.879
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,20,10,3,male,1.116,1.764,0.577,1.513,2.090,2.089,0.960,1.289,1.083,1.871
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,1,1,female,1.120,1.713,0.543,1.515,2.058,2.056,0.942,1.279,1.030,1.835
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,1,1,male,1.057,1.612,0.557,1.377,1.934,1.932,0.889,1.176,0.995,1.827
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,1,2,female,1.163,1.765,0.578,1.555,2.133,2.132,0.940,1.281,1.065,1.833
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,1,2,male,1.066,1.600,0.552,1.344,1.896,1.896,0.898,1.200,0.990,1.778
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,1,3,female,1.139,1.777,0.589,1.545,2.135,2.135,0.924,1.261,1.072,1.874
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,1,3,male,1.096,1.586,0.550,1.384,1.934,1.933,0.897,1.172,1.013,1.763
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,2,1,female,1.131,1.748,0.577,1.539,2.116,2.116,0.942,1.256,1.087,1.871
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,2,1,male,1.088,1.643,0.571,1.381,1.953,1.952,0.865,1.179,0.990,1.794
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,2,2,female,1.133,1.660,0.598,1.405,2.003,2.002,0.903,1.232,0.996,1.767
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,2,2,male,1.058,1.525,0.561,1.343,1.902,1.902,0.875,1.158,0.966,1.797
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,2,3,male,1.073,1.541,0.585,1.283,1.868,1.867,0.857,1.136,0.963,1.741
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,3,1,female,1.121,1.728,0.575,1.482,2.058,2.058,0.915,1.251,1.033,1.835
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,3,1,male,1.074,1.605,0.542,1.396,1.938,1.938,0.859,1.172,0.961,1.803
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,3,2,female,1.110,1.680,0.586,1.476,2.062,2.060,0.925,1.268,1.000,1.856
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,3,2,male,1.092,1.601,0.559,1.378,1.936,1.935,0.877,1.168,1.002,1.772
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,3,3,female,1.174,1.741,0.624,1.434,2.058,2.057,0.941,1.272,1.067,1.752
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,3,3,male,1.042,1.562,0.575,1.327,1.902,1.898,0.891,1.180,0.989,1.822
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,4,1,female,1.142,1.745,0.610,1.486,2.096,2.094,0.946,1.276,1.066,1.834
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,4,1,male,1.138,1.725,0.624,1.410,2.034,2.034,0.912,1.223,1.055,1.787
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,4,2,female,1.162,1.738,0.576,1.490,2.066,2.065,0.898,1.210,1.049,1.777
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,4,2,male,1.087,1.558,0.494,1.358,1.851,1.849,0.873,1.168,0.968,1.701
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,4,3,female,1.131,1.746,0.621,1.460,2.080,2.080,0.907,1.248,1.039,1.839
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,4,3,male,1.076,1.623,0.563,1.376,1.939,1.937,0.902,1.209,1.018,1.801
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,5,1,female,1.107,1.708,0.571,1.452,2.023,2.023,0.913,1.248,1.035,1.827
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,5,1,male,1.085,1.563,0.530,1.344,1.874,1.873,0.860,1.145,0.970,1.727
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,5,2,female,1.165,1.746,0.605,1.463,2.068,2.067,0.940,1.260,1.068,1.774
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,5,2,male,1.105,1.598,0.559,1.391,1.950,1.949,0.915,1.204,1.009,1.763
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,5,3,female,1.124,1.750,0.601,1.501,2.102,2.101,0.910,1.246,1.035,1.869
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,5,3,male,1.142,1.704,0.585,1.454,2.039,2.038,0.937,1.234,1.067,1.784
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,6,1,female,1.130,1.703,0.592,1.440,2.032,2.030,0.916,1.252,1.013,1.796
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,6,1,male,1.046,1.554,0.543,1.314,1.856,1.855,0.863,1.129,0.986,1.773
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,6,2,female,1.212,1.718,0.563,1.481,2.043,2.042,0.905,1.251,1.029,1.685
D._aldrichi,Gogango_Creek,-23.77,150.17,1994,1994,25,6,2,male,1.020,1.560,0.544,1.330,1.874,1.873,0.890,1.150,1.010,1.837
